wavelength,intensity1,intensity2,intensity3
483.626,584.629,610.028,642.879
483.8,648.864,616.032,608.789
483.973,627.56,601.814,673.079
484.147,687.861,662.365,626.639
484.32,588.012,619.233,608.086
484.494,636.519,581.364,589.532
484.667,635.073,653.213,638.368
484.841,623.446,612.67,622.422
485.014,600.663,622.933,599.643
485.188,621.241,667.609,654.15
485.361,621.151,613.836,617.126
485.535,663.199,608.147,637.639
485.708,657.2,626.445,689.503
485.882,623.232,667.024,634.867
486.055,638.824,622.791,614.644
486.229,634.823,601.338,626.298
486.402,667.15,622.064,662.819
486.576,633.507,615.989,621.266
486.749,653.212,629.871,694.283
486.923,678.164,660.073,663.715
487.096,662.239,637.354,626.211
487.27,627.519,651.187,623.688
487.443,647.636,590.118,668.539
487.617,641.192,602.342,606.656
487.79,717.15,641.398,689.157
487.964,623.366,682.961,682.826
488.137,659.503,645.947,647.805
488.311,632.072,647.591,614.392
488.484,676.294,653.294,709.824
488.658,673.512,663.549,668.985
488.831,690.757,687.984,634.717
489.005,646.932,664.241,659.384
489.178,695.292,685.4,682.503
489.352,722.796,693.688,669.577
489.525,626.646,679.453,651.932
489.699,669.873,618.191,663.807
489.872,673.618,672.82,628.569
490.046,704.66,667.661,677.365
490.219,717.542,716.739,761.744
490.393,655.268,695.056,743.236
490.566,680.383,658.795,656.356
490.74,709.492,735.322,725.935
490.913,716.672,712.061,732.603
491.087,744.288,700.021,706.76
491.26,761.565,706.018,766.365
491.434,715.373,714.592,709.503
491.607,789.197,739.4,789.054
491.781,705.336,693.804,714.786
491.954,730.769,715.068,746.308
492.128,800.503,738.128,736.5
492.301,776.194,751.88,742.262
492.475,800.397,795.79,804.84
492.648,744.719,702.804,706.42
492.822,743.934,776.896,793.261
492.995,766.941,780.192,756.85
493.169,796.217,792.836,796.075
493.342,784.562,765.181,801.55
493.515,817.432,810.398,785.159
493.689,782.559,737.724,800.939
493.862,824.581,826.409,838.463
494.036,772.429,777.523,817.188
494.209,773.648,828.039,802.183
494.383,762.946,837.99,746.411
494.556,819.9,817.328,834.727
494.73,816.663,891.918,816.889
