lambda,T_skim_2ml,T_half_full,T_full
542.59,86.845,0,0
542.762,86.958,0,0
542.935,87.055,0,0
543.107,87.163,0,0
543.279,87.231,0,0
543.451,87.396,0,0
543.623,87.467,0,0
543.795,87.528,0,0
543.967,87.595,0,0
544.139,87.63,0,0
544.311,87.607,0,0
544.483,87.613,0,0
544.655,87.634,0,0
544.827,87.666,0,0
544.999,87.599,0,0
545.172,87.534,0,0
545.344,87.389,0,0
545.516,87.32,0,0
545.688,87.195,0,0
545.86,87.163,0,0
546.032,87.168,0,0
546.204,87.154,0,0
546.376,87.255,0,0
546.548,87.42,0,0
546.72,87.537,0,0
546.893,87.658,0,0
547.065,87.811,0,0
547.237,88.034,0,0
547.409,88.205,0,0
547.581,88.381,0,0
547.753,88.487,0,0
547.925,88.622,0,0
548.097,88.683,0,0
548.27,88.73,0,0
548.442,88.846,0,0
548.614,88.911,0,0
